x-axis,1
second,Volt
-20.00000E+00,
-19.98438E+00,
-19.96875E+00,
-19.95313E+00,
-19.93750E+00,
-19.92188E+00,
-19.90625E+00,
-19.89063E+00,
-19.87500E+00,
-19.85938E+00,
-19.84375E+00,
-19.82813E+00,
-19.81250E+00,
-19.79688E+00,
-19.78125E+00,
-19.76563E+00,
-19.75000E+00,
-19.73438E+00,
-19.71875E+00,
-19.70313E+00,
-19.68750E+00,
-19.67188E+00,
-19.65625E+00,
-19.64063E+00,
-19.62500E+00,
-19.60938E+00,
-19.59375E+00,
-19.57813E+00,
-19.56250E+00,
-19.54688E+00,
-19.53125E+00,
-19.51563E+00,
-19.50000E+00,
-19.48438E+00,
-19.46875E+00,
-19.45313E+00,
-19.43750E+00,
-19.42188E+00,
-19.40625E+00,
-19.39063E+00,
-19.37500E+00,
-19.35938E+00,
-19.34375E+00,
-19.32813E+00,
-19.31250E+00,
-19.29688E+00,
-19.28125E+00,
-19.26563E+00,
-19.25000E+00,
-19.23438E+00,
-19.21875E+00,
-19.20313E+00,
-19.18750E+00,
-19.17188E+00,
-19.15625E+00,
-19.14063E+00,
-19.12500E+00,
-19.10938E+00,
-19.09375E+00,
-19.07813E+00,
-19.06250E+00,
-19.04688E+00,
-19.03125E+00,
-19.01563E+00,
-19.00000E+00,
-18.98438E+00,
-18.96875E+00,
-18.95313E+00,
-18.93750E+00,
-18.92188E+00,
-18.90625E+00,
-18.89063E+00,
-18.87500E+00,
-18.85938E+00,
-18.84375E+00,
-18.82813E+00,
-18.81250E+00,
-18.79688E+00,
-18.78125E+00,
-18.76563E+00,
-18.75000E+00,
-18.73438E+00,
-18.71875E+00,
-18.70313E+00,
-18.68750E+00,
-18.67188E+00,
-18.65625E+00,
-18.64063E+00,
-18.62500E+00,
-18.60938E+00,
-18.59375E+00,
-18.57813E+00,
-18.56250E+00,
-18.54688E+00,
-18.53125E+00,
-18.51563E+00,
-18.50000E+00,
-18.48438E+00,
-18.46875E+00,
-18.45313E+00,
-18.43750E+00,
-18.42188E+00,
-18.40625E+00,
-18.39063E+00,
-18.37500E+00,
-18.35938E+00,
-18.34375E+00,
-18.32813E+00,
-18.31250E+00,
-18.29688E+00,
-18.28125E+00,
-18.26563E+00,
-18.25000E+00,
-18.23438E+00,
-18.21875E+00,
-18.20313E+00,
-18.18750E+00,
-18.17188E+00,
-18.15625E+00,
-18.14063E+00,
-18.12500E+00,
-18.10938E+00,
-18.09375E+00,
-18.07813E+00,
-18.06250E+00,
-18.04688E+00,
-18.03125E+00,
-18.01563E+00,
-18.00000E+00,
-17.98438E+00,
-17.96875E+00,
-17.95313E+00,
-17.93750E+00,
-17.92188E+00,
-17.90625E+00,
-17.89063E+00,
-17.87500E+00,
-17.85938E+00,
-17.84375E+00,
-17.82813E+00,
-17.81250E+00,
-17.79688E+00,
-17.78125E+00,
-17.76563E+00,
-17.75000E+00,
-17.73438E+00,
-17.71875E+00,
-17.70313E+00,
-17.68750E+00,
-17.67188E+00,
-17.65625E+00,
-17.64063E+00,
-17.62500E+00,
-17.60938E+00,
-17.59375E+00,
-17.57813E+00,
-17.56250E+00,
-17.54688E+00,
-17.53125E+00,
-17.51563E+00,
-17.50000E+00,
-17.48438E+00,
-17.46875E+00,
-17.45313E+00,
-17.43750E+00,
